ucjeps
University and Jepson Herbaria
Taxaceae|Taxus brevifolia Nutt.|BFRS399|family_s|7c38ae65-a59e-4015-b350
Asteraceae|Erigeron blochmaniae Greene|UC1969509|family_s|120b6489-8d77-4e47-ace5
Ephedraceae|Ephedra californica S. Watson|UC917025|family_s|d04520a8-b91b-475d-a89b
Sargassaceae|Stephanocystis setchellii|UC1974243|family_s|f939d654-9c76-4260-8d2c
Dryopteridaceae|Polystichum aculeatum (L.) Roth ex Mert.|GOD1016|family_s|db5eb839-803e-44b0-974a
Erythrotrichiaceae|Erythrotrichia carnea|UC266268|family_s|8a37d70e-51e0-452c-91c7
Ulvaceae|Ulva lactuca|UC132889|family_s|a37bd344-8322-4309-b134
Ahnfeltiaceae|Ahnfeltia fastigiata|UC1990526|family_s|d6139e49-3636-4199-93bd
Solieriaceae|Sarcodiotheca furcata|UC1882328|family_s|9c294415-c39e-42b9-afec
Violaceae|Viola lobata Benth.|BFRS411|family_s|d3b7ba04-f392-4157-ad48
Schizymeniaceae|Schizymenia pacifica|UC96290|family_s|e8b36c55-644d-4a7f-adc7
Costariaceae|Costaria costata|UC1829916|family_s|554258e6-3e71-40ab-8f45
Loasaceae|Mentzelia hirsutissima S. Watson|UC971581|family_s|52c77c6b-bf24-4091-83b1
Gigartinaceae|Mazzaella flaccida|UC1965824|family_s|51586b80-2247-4452-bad9
Apocynaceae|Matelea cordifolia (A. Gray) Woodson|UC105427|family_s|31f0155b-ec28-4810-921e
