bampfa
BAM/PFA
1001. Alger. Place du Gouvernement et mosquée El-Djedid.|Leroux, A.|2005.3.33.9.b|title_s|14a9db7c-e3f9-4405-a305
4606. Milano Arco della Galleria Vittorio Emanuele (Mengoni).|Brogi, Giacomo|2002.43.35|title_s|0b615704-714f-4f8d-8ca3
Tongue Tied|Cha, Theresa Hak Kyung|1992.4.1|title_s|e00c239e-dfb6-484d-aa9a
River Landscape with Villa|Ni Hongao|2002.1.4|title_s|9ca43249-e4cd-44b0-acd2
untitled photograph from the film Dr. Jekyll and Mr. Hyde, by Rouben Mamoulian (Apparatus)|Cha, Theresa Hak Kyung|1992.4.357.1|title_s|1663ef1e-a1ab-4d17-9606
The Finding of Moses|Ensor, James|1979.19|title_s|7acb8bef-e861-40a5-ba9d
Actualités: Les Parisiens ayant trouve moyen de circuler...|Daumier, Honoré|1973.28.22|title_s|085946a8-edfe-4840-8bc7
Sisters of Charity|Forain, Jean-Louis|1971.54|title_s|54c3fbb9-a688-42f3-9025
No sabien el camino (They don't know the way), from the series Los desastres de la guerra (The Disasters of War)|Goya, Francisco|1970.103.70|title_s|5086d9fa-28c1-4a4e-8079
Falcon Hunting, 1 of 2 Screens|Sumiyoshi (School of)|1976.27.2|title_s|4a716e16-d32f-4108-9a37
Yo lo vi (I saw this), from the series Los desastres de la guerra (The Disasters of War)|Goya, Francisco|1970.103.44|title_s|1b0d5de7-ac53-4cd9-96ce
Nada. Ello dira (Nothing. It speaks for itself), from the series Los desastres de la guerra (The Disasters of War)|Goya, Francisco|1970.103.69|title_s|d34a31dc-ee11-462f-b2de
untitled photograph (The Horizontal Philosopher)|Byars, James Lee|2003.7.180.7|title_s|372cd592-6001-42dc-8cbc
Bullfighting: Combat in a Carriage Yoked with Two Mules (Funcion de Mojiganga)|Goya, Francisco|19XX.34|title_s|63343d75-00ed-438c-b462
Landscape (The Land)|Piazzoni, Gottardo|1987.8.2|title_s|b8d0fda3-5e71-44a2-b814
