pahma
Phoebe A. Hearst Museum of Anthropology
Stopper||9-13207b|objname_s|eb360b4a-e871-4c40-893b
Figure||5-8783|objname_s|54db8047-8f45-480d-888c
Handaxe|1947|5-1054|objname_s|5011fbf4-fadc-43f4-a9a2
Painting||No-Temp302|objname_s|3b892008-a9ed-4c16-a970
Sherd||TEMP 2018.9546|objname_s|17685346-96e9-47bb-a1bd
Ceramic fragment||1-245901|objname_s|b8a911ae-bbdd-42bd-8fc9
Sandstone fragment||1-245206|objname_s|480bc8a4-c57a-4f3c-aa27
Sarcophagus lid||8-1274b|objname_s|001625f7-176d-4566-835e
Amulet|1899|6-20065|objname_s|452fa466-f38b-4abb-9482
Cut bone fragment||1-249224|objname_s|811d9854-0cf3-4634-85a4
Scraper||1-203765|objname_s|936d2c90-6137-480b-8b35
Top, section of coconut shell, incised, w/o handle||11-37833|objname_s|f448f20e-f031-417a-b4a1
Metal object||1-254692|objname_s|3f7c2868-7b3f-4e6d-b4fd
Point fragment|1948|1-149774|objname_s|9f20ccc3-4067-4d5d-ad00
Coin||7-2917|objname_s|de8e6b28-a471-4db3-9bca
